Perusahaan,Tahun,LCS,STDDEVROA,ROA,MTB,LEV,AGE,PM
AUTO,2013,2,0.03737446,0.066505384,1.840409895,0.242431611,22,0.098861539
AUTO,2012,2,0.038474378,0.083851799,2.494089924,0.382422867,21,0.137229364
AUTO,2011,2,0.024807463,0.127894594,2.662291267,0.321835144,20,0.149597231
BAJA,2016,3,0.022454561,-0.023832015,3.022859221,0.800023092,23,0.035133239
BAJA,2015,3,0.055494926,0.035001437,0.93548372,0.829628937,22,-0.007472785
BAJA,2014,1,0.063780507,-0.009855667,2.838725224,0.806774474,21,0.011446854
BAJA,2013,3,0.066593785,0.01444426,11.46653965,0.793284804,20,-0.07330139
BAJA,2012,1,0.00814767,-0.091493738,3.571445387,0.686710552,19,0.017630784
BATA,2016,3,0.055992381,0.062702963,1.843292236,0.307660537,85,0.042240011
BATA,2015,4,0.05056296,0.052478453,2.13820788,0.311937477,84,0.125887518
BATA,2014,3,0.027813616,0.162864693,3.347582757,0.446224621,83,0.070169039
BATA,2013,3,0.02940214,0.091343727,3.472317022,0.416979763,82,0.049169734
BATA,2012,3,0.00835323,0.065189735,0.02012963,0.325059936,81,0.092279538
BATA,2011,3,0.009806353,0.120784589,0.020170385,0.313886451,80,0.083430341
BRNA,2016,5,0.098510018,0.176828886,-1.220413574,2.055781464,28,0.101157018
BRNA,2015,3,0.116931529,0.189155581,-0.14900067,3.029085698,27,-0.003468972
BRNA,2014,3,0.119740547,-0.007747955,-0.310438944,2.86355582,26,0.03505202
BRNA,2013,3,0.094263564,0.096570575,-0.295144385,2.728438685,25,-0.057853298
BRNA,2012,3,0.045300884,-0.136854187,-0.412100625,2.876290373,24,0.010771415
BRNA,2011,2,0.053932558,0.026205318,-0.406424277,3.080737518,23,0.013215625
BIMA,2016,2,0.130713883,-0.090735153,0.821287977,0.507657971,47,-0.006985355
BIMA,2015,5,0.133099563,-0.004564548,0.669235944,0.545297889,46,0.344327044
BIMA,2014,3,0.041462186,0.241748436,1.327738644,0.725373898,45,0.045278803
BIMA,2013,3,0.046343995,0.042725002,1.026378939,0.72813769,44,-0.012715319
BIMA,2012,3,0.003872541,-0.010860426,1.600238905,0.608208427,43,0.065110121
BIMA,2011,3,0.014989116,0.070739131,0.959739068,0.604782636,42,0.064469583
BTON,2016,5,0.04232869,0.061966348,0.632047879,0.190405996,21,-0.09519961
BTON,2015,4,0.062396489,-0.033700247,0.525134716,0.185738018,20,0.093437085
BTON,2014,5,0.067437417,0.034534227,0.662846801,0.158002502,19,0.079475571
BTON,2013,5,0.011937965,0.043812802,0.71316701,0.211875027,18,0.227947234
BTON,2012,5,0.042133055,0.146948264,1.113281163,0.219996248,17,0.159746575
BTON,2011,5,0.034171321,0.17065153,0.654545858,0.223985933,16,0.12461554
BUDI,2016,3,0.003500212,0.015544033,0.335981818,0.602640283,37,0.015652754
BUDI,2015,2,0.0057877,0.013174128,0.256445671,0.661583924,36,0.008858229
BUDI,2014,2,0.007934776,0.006452022,0.480201716,0.631264579,35,0.012476518
BUDI,2013,3,0.013773579,0.011505534,0.504779248,0.628549127,34,0.016693954
BUDI,2012,2,0.014390937,0.017997587,0.547086467,0.628583989,33,0.002214894
BUDI,2011,2,0.037671665,0.00221075,1.119572691,0.618030081,32,0.025145927
CEKA,2016,5,0.072099604,0.07713491,0.804924151,0.370307855,48,0.060671724
CEKA,2015,2,0.020558991,0.171853527,0.627643492,0.569334886,47,0.030567293
CEKA,2014,1,0.015644656,0.071710572,0.415076762,0.581395354,46,0.011075869
CEKA,2013,5,0.033644856,0.031928835,0.326629164,0.506113079,45,0.025695897
CEKA,2012,2,0.042555807,0.060823951,0.417293383,0.549084101,44,0.051929877
CEKA,2011,3,0.041610633,0.056772065,0.348869147,0.508042294,43,0.077780935
CPIN,2016,3,0.009395801,0.101815783,3.579073976,0.415110659,44,0.058860376
CPIN,2015,2,0.047496176,0.093030926,3.394104826,0.260063525,43,0.060868029
CPIN,2014,2,0.0669595,0.074239591,5.664150878,0.475454955,42,0.059918611
CPIN,2013,2,0.053115397,0.083721946,5.770391725,0.36707955,41,0.098534497
CPIN,2012,2,0.061329514,0.160835664,7.320120287,0.337864525,40,0.125798012
CPIN,2011,3,0.036053638,0.217098792,5.69607737,0.3004829,39,0.131557004
DLTA,2016,3,0.054698421,0.20865432,3.954363919,0.154803106,46,0.328412502
DLTA,2015,3,0.067970834,0.212481199,4.900331681,0.181735965,45,0.274543712
DLTA,2014,3,0.013773354,0.184957282,8.169207445,0.229320569,44,0.327634147
DLTA,2013,3,0.048620597,0.290412082,8.994068273,0.219693016,43,0.311969208
DLTA,2012,3,0.046746491,0.311978469,6.825948793,0.1973621,42,0.29643801
DLTA,2011,3,0.025934658,0.286353307,3.116354125,0.177014001,41,0.268973894
DPNS,2016,2,0.011102241,0.019330926,0.5031139,0.110982374,34,0.08633198
DPNS,2015,5,0.124833068,0.033800715,0.531079046,0.120907371,33,0.083217131
DPNS,2014,3,0.106618669,0.035919063,0.495118707,0.121969381,32,0.109356167
DPNS,2013,5,0.14957643,0.054001826,0.696560422,0.128698213,31,0.508730711
DPNS,2012,3,0.079915706,0.260609801,0.81880462,0.156739577,30,0.140489428
DPNS,2011,3,0.063241305,0.111616865,1.79235893,0.238816194,29,-0.05481385
DVLA,2016,3,0.017080466,0.098879068,1.820708707,0.295021612,40,0.10478706
DVLA,2015,3,0.02054501,0.099312277,1.495607679,0.292717629,39,0.082608211
DVLA,2014,3,0.036610215,0.078395798,1.966685456,0.221489658,38,0.073317521
DVLA,2013,3,0.017207656,0.065463812,2.693770688,0.231377122,37,0.114185605
DVLA,2012,3,0.004739873,0.1057065,2.249192466,0.216941329,36,0.136943025
DVLA,2011,3,0.02205452,0.138559849,1.769431556,0.211310382,35,0.134405327
EKAD,2016,2,0.01548494,0.095630974,0.696408618,0.157298883,35,0.15947877
EKAD,2015,3,0.011182938,0.129088551,0.957352527,0.250788521,34,0.088498454
EKAD,2014,2,0.016546932,0.120711499,1.317240617,0.335845302,33,0.077398633
EKAD,2013,2,0.011633153,0.099079125,1.146460165,0.30818824,32,0.094228796
EKAD,2012,3,0.011078938,0.114815134,1.273955848,0.299078547,31,0.094011076
EKAD,2011,3,0.010085778,0.132159951,1.32518067,0.378576145,30,0.079610602
ETWA,2016,3,0.05472118,-0.11441202,11.18052335,0.99387225,24,-0.281830824
ETWA,2015,2,0.088442729,-0.059096274,0.996742426,0.943143818,23,-0.56652886
ETWA,2014,2,0.076906627,-0.168249278,0.833764802,0.77314711,22,-0.142124
ETWA,2013,1,0.057102415,-0.106785186,0.79304416,0.654984481,21,0.006559509
ETWA,2012,2,0.038951791,0.006124589,0.685716951,0.544465235,20,0.038473924
ETWA,2011,1,0.049078425,0.040126459,1.10749206,0.394313266,19,0.080688047
FASW,2016,3,0.067552068,0.063593925,4.236455027,0.632021427,29,0.132433452
FASW,2015,2,0.034355759,0.09064342,1.053840295,0.65034686,28,-0.062277554
FASW,2014,3,0.030896992,-0.044168252,2.485907124,0.705307708,27,0.01589644
FASW,2013,3,0.035699693,0.015543065,3.220759739,0.726297346,26,-0.050204926
FASW,2012,3,0.031146971,-0.043755311,3.496763512,0.676069979,25,0.001327169
FASW,2011,3,0.025231257,0.000948753,6.016972172,0.634995292,24,0.032092059
GDST,2016,2,0.035933378,0.007991499,1.113537355,0.338599051,27,0.04186622
GDST,2015,5,0.063607905,0.025230231,0.601434592,0.320561893,26,-0.060421481
GDST,2014,2,0.043870132,-0.046634944,0.970305264,0.357424175,25,-0.011466074
GDST,2013,5,0.031173471,-0.010289431,0.797365466,0.257729728,24,0.065161729
GDST,2012,5,0.059765298,0.077117875,1.116878142,0.318776478,23,0.028272499
GDST,2011,5,0.167230774,0.040027664,1.419155866,0.237441296,22,0.047610613
GGRM,2016,3,0.00679205,0.116167692,3.107585549,0.371513883,45,0.087482879
GGRM,2015,3,0.007668541,0.105996963,2.784284713,0.40150127,44,0.091704419
GGRM,2014,2,0.005842124,0.101610771,3.514795081,0.429261808,43,0.082767855
GGRM,2013,2,0.020843596,0.092669828,2.747176758,0.420600245,42,0.079079597
GGRM,2012,2,0.019380574,0.086348441,4.071537357,0.359042504,41,0.082986319
GGRM,2011,1,0.004620103,0.098019204,4.862938802,0.371917591,40,0.118375999
GJTL,2016,3,0.026433852,0.002475266,0.637589457,0.687226114,65,0.045957269
GJTL,2015,2,0.018712173,0.033509916,0.345278551,0.69193064,64,-0.024157307
GJTL,2014,2,0.043516944,-0.017894624,0.829951137,0.627044168,63,0.02271242
GJTL,2013,2,0.040593097,0.018504638,1.022731168,0.627096949,62,0.009741019
GJTL,2012,3,0.014887741,0.007838703,1.415322475,0.574322291,61,0.090013782
GJTL,2011,3,0.021410323,0.087977095,2.359470302,0.616516344,60,0.057732129
HDTX,2016,2,0.030982795,-0.000209921,1.772513147,0.751565873,43,-0.238944851
HDTX,2015,2,0.034492083,-0.082968487,2.283224744,0.713846546,42,-0.253762754
HDTX,2014,1,0.048471135,-0.072905329,0.972447182,0.854409801,41,-0.089735819
HDTX,2013,2,0.059114166,-0.024985512,0.883210986,0.697267252,40,-0.206796189
HDTX,2012,2,0.008866966,-0.091920757,2.290687502,0.533526463,39,0.003600277
HDTX,2011,5,0.009364205,0.002276656,0.515163712,0.442335482,38,0.016998097
HMSP,2016,3,0.043961389,0.293700088,13.03578792,0.196038597,53,0.13368258
HMSP,2015,2,0.062750112,0.300229271,13.66051816,0.157709808,52,0.116351058
HMSP,2014,3,0.018060599,0.272641689,22.13009899,0.52438991,51,0.126175058
HMSP,2013,3,0.018716821,0.358733509,19.18173173,0.483479485,50,0.144198016
HMSP,2012,3,0.052333633,0.394769067,19.58455459,0.492964804,49,0.149270219
HMSP,2011,3,0.068304807,0.378904115,16.63400517,0.473492547,48,0.152571477
ICBP,2016,3,0.012181691,0.112056529,5.405211492,0.359876262,7,0.105358723
ICBP,2015,3,0.00423404,0.125642085,4.794808805,0.383037424,6,0.092093486
ICBP,2014,3,0.01437535,0.110055697,5.078840863,0.396233657,5,0.084326226
ICBP,2013,2,0.015950451,0.101632258,4.483411491,0.376243107,4,0.089064292
ICBP,2012,3,0.004588188,0.105091955,3.79506602,0.327472558,3,0.105096475
ICBP,2011,3,0.064119734,0.128080014,2.831148783,0.296467608,2,0.106694298
IGAR,2016,3,0.013506778,0.141078939,1.352635838,0.14953759,41,0.087419376
IGAR,2015,3,0.022802192,0.157704308,0.701445664,0.19136464,40,0.075909888
IGAR,2014,3,0.023311659,0.133918619,1.162433065,0.247055859,39,0.074402508
IGAR,2013,3,0.022751811,0.156901095,1.270474006,0.282779408,38,0.0544455
IGAR,2012,3,0.033275185,0.111297187,1.626872153,0.225117778,37,0.079985682
IGAR,2011,3,0.041299376,0.142496344,1.71629818,0.182782045,36,0.107887972
IKAI,2016,5,0.24895535,-0.189613773,-0.908474121,1.233367438,25,-1.735164255
IKAI,2015,4,0.122124877,-0.548466479,1.306879733,0.823011799,24,-0.771164758
IKAI,2014,4,0.019670029,-0.279170235,0.52269528,0.655465481,23,-0.101063336
IKAI,2013,4,0.007427382,-0.051125721,0.539383516,0.5738926,22,-0.203703456
IKAI,2012,4,0.015698112,-0.089383665,0.451518673,0.509512797,21,-0.197192069
